id,Station Name,Address_1,Address  2,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Subcategory,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
428,AVIATION / 1ST FLOOR GARAG,3201 Presidential Blvd,,Austin,Texas,78719,2,,All Drivers,Parking,Airport,J1772,240V,J1772,"3201 Presidential Blvd
Austin, Texas 2863
(30.204258773, -97.670137162)",,40A
429,PIE AE / MUELLERHQ P2-10,4815 Mueller Blvd,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"4815 Mueller Blvd
Austin, Texas 3239
(30.30156502, -97.704676035)",$4.17/month PIE members $2/hr Non-Members,40A
430,DCMC GARAGE 3 / LL #7,4900 Mueller Boulevard,,Austin,Texas,78723,2,,All Drivers,Healthcare,Hospital / Treatment Center,J1772,240V,J1772,"4900 Mueller Boulevard
Austin, Texas 3239
(30.303677009, -97.706609991)",,40A
431,TR DOMAIN 11 / STATION 1,11920 Alterra Pkwy,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"11920 Alterra Pkwy
Austin, Texas 3646
(30.405286001, -97.719620968)",$4.17/month PIE members $2/hr Non-Members,40A
432,YETI RAMBLERS / EVSE #2,7601 Southwest Pkwy,,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Yeti Coolers,Workplace,General,J1772,240V,J1772,"7601 Southwest Pkwy
Austin, Texas 3251
(30.25580599, -97.872517024)",$4.17/month PIE members $2/hr Non-Members,40A
433,NATIONAL INSTRU / 5&6,11500 N Mopac Expy,,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,High-Tech,J1772,240V,J1772,"11500 N Mopac Expy
Austin, Texas 3647
(30.406639008, -97.727892985)",$4.17/month PIE members $2/hr Non-Members,40A
434,ASHTON AUSTIN / STATION3,101 Colorado St,,Austin,Texas,78701,2,,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"101 Colorado St
Austin, Texas 2856
(30.264166016, -97.74536196)",,40A
435,PIE AE / PUBACCSVSCTRST2,9101 Exchange Dr,,Austin,Texas,78710,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"9101 Exchange Dr
Austin, Texas 3643
(30.329945341, -97.667356672)",$4.17/month PIE members $2/hr Non-Members,40A
436,AISD / CASIS 2,2710 Exposition Blvd,Exposition/Northwood,Austin,Texas,78703,2,,All Drivers,Education,High School / Other,J1772,240V,J1772,"2710 Exposition Blvd
Austin, Texas 2858
(30.304544997, -97.765951016)",,40A
437,ACC / AE HLC GAR 1F4,6018 WILHELMINA DELCO DR,,Austin,Texas,78752,2,,All Drivers,Education,University / College,J1772,240V,J1772,"6018 WILHELMINA DELCO DR
Austin, Texas 3641
(30.3166, -97.6575)",,40A
438,CATHERINE / CATHERINE 2,300 Barton Springs Rd,,Austin,Texas,78704,2,,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"300 Barton Springs Rd
Austin, Texas 2859
(30.259219981, -97.747697997)",,40A
439,ENDEAVOR REG / LEVEL 2 - #3,4301 Bull Creek Rd,,Austin,Texas,78731,2,,All Drivers,Workplace,General,J1772,240V,J1772,"4301 Bull Creek Rd
Austin, Texas 3247
(30.318010985, -97.753847967)",,40A
440,BEXLEYTECHRIDGE / CLUBHOUSE,1200 East Parmer Lane,,Austin,Texas,78753,1,,All Drivers,Parking,Commercial,J1772,240V,J1772,"1200 East Parmer Lane
Austin, Texas 3642
(30.396170011, -97.652635983)",,40A
441,LADERA BEND / BUILDING 1,7300 Ranch Rd 2222,,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,High-Tech,J1772,240V,J1772,"7300 Ranch Rd 2222
Austin, Texas 3639
(30.372443986, -97.802253039)",$4.17/month PIE members $2/hr Non-Members,40A
442,AMD GO GREEN / AMD P100 LG,7171 Southwest Pkwy,,Austin,Texas,78735,2,,AMD Lone Star,Workplace,High-Tech,J1772,240V,J1772,"7171 Southwest Pkwy
Austin, Texas 3251
(30.251202984, -97.863350994)",,40A
443,HIDAUSTIN / STATION 1,611 Center Ridge Dr,,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"611 Center Ridge Dr
Austin, Texas 3642
(30.413884996, -97.666467967)",$4.17/month PIE members $2/hr Non-Members,40A
444,PALOMA RIDGE / PALOMA BDG C #4,13620 Ranch Rd 620 N,,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"13620 Ranch Rd 620 N
Austin, Texas 2862
(30.387240427, -97.903868619)",$4.17/month PIE members $2/hr Non-Members,40A
445,DCMC GARAGE 3 / EV STATION 5,1400 Barbara Jordan Blvd,,Austin,Texas,78723,2,,All Drivers,Healthcare,Hospital / Treatment Center,J1772,240V,J1772,"1400 Barbara Jordan Blvd
Austin, Texas 3239
(30.304783001, -97.704081003)",,40A
446,PIE AE / ERCOT 2,7601 E Ben White Blvd,,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Municipal,Municipal Fleet,J1772,240V,J1772,"7601 E Ben White Blvd
Austin, Texas 3258
(30.216916013, -97.692526969)",$4.17/month PIE members $2/hr Non-Members,40A
447,AUSTIN HQ / MCKINNEY FALLS,5808 McKinney Falls Pkwy,Rock Shelter Interpretive Trail,Austin,Texas,78744,2,,All Drivers,Parks and Recreation,,J1772,240V,J1772,"5808 McKinney Falls Pkwy
Austin, Texas 3258
(30.182792991, -97.723032989)",,40A
448,PIE AE / PUB ACC NRIDGE1,11928 Stonehollow Dr,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"11928 Stonehollow Dr
Austin, Texas 3646
(30.403440013, -97.704204972)",$4.17/month PIE members $2/hr Non-Members,40A
449,AUSTIN DOT / PDC EV #7,6310 Wilhelmina Delco Dr,,Austin,Texas,78752,2,,All Drivers,Workplace,General,J1772,240V,J1772,"6310 Wilhelmina Delco Dr
Austin, Texas 3641
(30.3166, -97.6575)",,40A
450,PIE AE / HOWSONBRCHLIBR1,2500 Exposition Blvd,,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Municipal,Library,J1772,240V,J1772,"2500 Exposition Blvd
Austin, Texas 2858
(30.298259994, -97.76762396)",$4.17/month PIE members $2/hr Non-Members,40A
451,MIRA VISTA / STATION 1,2705 Bee Cave Rd,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"2705 Bee Cave Rd
Austin, Texas 3260
(30.269378009, -97.786918011)",$4.17/month PIE members $2/hr Non-Members,40A
452,HANOVER / L1,110 San Antonio St,,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"110 San Antonio St
Austin, Texas 2856
(30.26531199, -97.749484013)",$4.17/month PIE members $2/hr Non-Members,40A
453,BRANDYWINE AUST / RIVER PL 1,6500 River Pl Blvd,,Austin,Texas,78730,2,,All Drivers,Workplace,General,J1772,240V,J1772,"6500 River Pl Blvd
Austin, Texas 3246
(30.392150008, -97.84886497)",,40A
454,RIATA' / DOMINION,12340 Alameda Trace Cir,,Austin,Texas,78727,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"12340 Alameda Trace Cir
Austin, Texas 3243
(30.430908012, -97.747810985)",$4.17/month PIE members $2/hr Non-Members,40A
455,DOMAIN TOWER 2 / LVL 6_STATION 3,10025 Alterra Pkwy,,Austin,Texas,78758,2,,All Drivers,Workplace,General,J1772,240V,J1772,"10025 Alterra Pkwy
Austin, Texas 3646
(30.394621999, -97.722115003)",,40A
456,TRAVIS FLATS / COUNTY STATION2,5335 Airport Blvd,,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"5335 Airport Blvd
Austin, Texas 3640
(30.315147014, -97.713145026)",$4.17/month PIE members $2/hr Non-Members,40A
457,PIE AE / CTECC EVSE1,5010 Old Manor Rd,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Municipal,Municipal Workplace,J1772,240V,J1772,"5010 Old Manor Rd
Austin, Texas 3239
(30.300168009, -97.69433)",$4.17/month PIE members $2/hr Non-Members,40A
458,COA / TWIN OAKS #1,1800 S 5th St,,Austin,Texas,78704,2,,All Drivers,Municipal,Library,J1772,240V,J1772,"1800 S 5th St
Austin, Texas 2859
(30.248673996, -97.762382002)",,40A
459,ST. JOHNS WEST / ST JOHNS SW,601 W St Johns Ave,,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"601 W St Johns Ave
Austin, Texas 3641
(30.337705985, -97.71480699)",$4.17/month PIE members $2/hr Non-Members,40A
460,ENDEAVOR REG / DEMONBREUN 2,1216 Demonbreun St,,Nashville,Tennessee,37203,2,,All Drivers,Workplace,General,J1772,240V,J1772,"1216 Demonbreun St
Nashville, Tennessee 30406
(36.154427019, -86.787545964)",,40A
461,SOLARWINDS / SOLARWINDS #1,7171 Southwest Parkway,P400 Garage,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,High-Tech,J1772,240V,J1772,"7171 Southwest Parkway
Austin, Texas 3251
(30.251202984, -97.863350994)",$4.17/month PIE members $2/hr Non-Members,40A
462,PIE AE / PUB ACC EVIEW1,3401 Webberville Rd,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"3401 Webberville Rd
Austin, Texas 2857
(30.268334001, -97.706759021)",$4.17/month PIE members $2/hr Non-Members,40A
463,INDEED TOWER / P6 SOUTH ST 1,618 Lavaca St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"618 Lavaca St
Austin, Texas 2856
(30.269549, -97.745216031)",$4.17/month PIE members $2/hr Non-Members,40A
464,MONOGRAM / OFF NETWORK 1,615 W 7th St,,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"615 W 7th St
Austin, Texas 2856
(30.270491, -97.748857968)",$4.17/month PIE members $2/hr Non-Members,40A
465,SIENNATHOMPSON / #4,508 Brazos St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"508 Brazos St
Austin, Texas 2856
(30.267083002, -97.74210601)",$4.17/month PIE members $2/hr Non-Members,40A
466,PIE AE / WALNUTCREEKPRK2,Walnut Creek Park Rd,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parks and Recreation,,J1772,--,J1772,"Walnut Creek Park Rd
Austin, Texas 3646
(30.40148815, -97.684502031)",$4.17/month PIE members $2/hr Non-Members,40A
467,INDEED TOWER / P8 SOUTH ST 2,200 W 6TH ST,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"200 W 6TH ST
Austin, Texas 2856
(30.268915999, -97.74474698)",$4.17/month PIE members $2/hr Non-Members,40A
468,GIBSON FLATS / STATION 2,1219 S Lamar Blvd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"1219 S Lamar Blvd
Austin, Texas 2859
(30.254150019, -97.761700972)",$4.17/month PIE members $2/hr Non-Members,40A
469,PIE AE / MUELLERHQ P2-2,4815 Mueller Blvd,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,--,J1772,"4815 Mueller Blvd
Austin, Texas 3239
(30.30156502, -97.704676035)",$4.17/month PIE members $2/hr Non-Members,30A
470,ENDEAVOR REG / LEVEL 3 - #2,4301 Bull Creek Rd,,Austin,Texas,78731,2,,All Drivers,Workplace,General,J1772,240V,J1772,"4301 Bull Creek Rd
Austin, Texas 3247
(30.318010985, -97.753847967)",,40A
471,PIE-CAPRIDGE / #1,115 Wild Basin Rd,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"115 Wild Basin Rd
Austin, Texas 3260
(30.304101007, -97.828004005)",$4.17/month PIE members $2/hr Non-Members,40A
472,PIE AE / PUBHILL.CGAL1,12901 Hill Country Blvd,,Bee Cave,Texas,78738,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"12901 Hill Country Blvd
Bee Cave, Texas 3254
(30.309331985, -97.942085982)",$4.17/month PIE members $2/hr Non-Members,40A
473,DOMAIN. / DOMAIN GW 3,2900 Esperanza Crossing,,Austin,Texas,78758,2,,All Drivers,Workplace,General,J1772,240V,J1772,"2900 Esperanza Crossing
Austin, Texas 3646
(30.399031006, -97.71997502)",,40A
474,AISD / BLAZIER 2,6219 Baythorne Dr,,Austin,Texas,78747,2,,All Drivers,Education,High School / Other,J1772,240V,J1772,"6219 Baythorne Dr
Austin, Texas 3261
(30.151872472, -97.749052832)",,40A
475,CAPMETRO / EVSE 03,41 N Pleasant Valley Rd,,Austin,Texas,78702,2,,All Drivers,Municipal,Municipal Fleet,J1772,240V,J1772,"41 N Pleasant Valley Rd
Austin, Texas 2857
(30.251137479, -97.713373951)",,40A
476,LCPM / GARAGE 1,3800 N. Lamar Blvd,,Austin,Texas,78756,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"3800 N. Lamar Blvd
Austin, Texas 3644
(30.306039993, -97.743531017)",$4.17/month PIE members $2/hr Non-Members,40A
477,ACC-AE / NORTHRIDGE2,11928 Stonehollow,,Austin,Texas,78758,2,,All Drivers,Education,University / College,J1772,240V,J1772,"11928 Stonehollow
Austin, Texas 3646
(30.403440013, -97.704204972)",,40A
478,1801 E 6TH / AUSTIN 1801 3,1805 E 6th St,,Austin,Texas,78702,2,,All Drivers,Parking,Commercial,J1772,240V,J1772,"1805 E 6th St
Austin, Texas 2857
(30.26175098, -97.723689963)",,40A
479,ROSCOE PROPERTI / TIMBERCREEK 1,614 S 1st St,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"614 S 1st St
Austin, Texas 2859
(30.256767017, -97.751467003)",$4.17/month PIE members $2/hr Non-Members,40A
480,REPUBLICSQUARE / GABLES REPUB3,213 W 4th St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"213 W 4th St
Austin, Texas 2856
(30.266468986, -97.745542004)",$4.17/month PIE members $2/hr Non-Members,40A
481,DCMC GARAGE 3 / EV STATION 9,4924 Mueller/Barbara Jordan,,Austin,Texas,78723,2,,All Drivers,Healthcare,Hospital / Treatment Center,J1772,240V,J1772,"4924 Mueller/Barbara Jordan
Austin, Texas 3239
(30.30385548, -97.704084562)",,40A
482,FOUNDRY / STATION 1,310 Comal St,,Austin,Texas,78702,2,,All Drivers,Workplace,General,J1772,240V,J1772,"310 Comal St
Austin, Texas 2857
(30.261140987, -97.728030029)",,40A
483,CZPROPERTIES / FLOOR 2 UNIT 2,1400 Lavaca St,,Austin,Texas,78701,2,,All Drivers,Workplace,General,J1772,240V,J1772,"1400 Lavaca St
Austin, Texas 2856
(30.277083996, -97.742725014)",,40A
484,AISD / TRAVIS1,1211 E Oltorf St.,,Austin,Texas,78704,2,,All Drivers,Education,High School / Other,J1772,240V,J1772,"1211 E Oltorf St.
Austin, Texas 2859
(30.233693021, -97.744263009)",,40A
485,TR DOMAIN 10 / ALTERRA 6,11815 Alterra Pkwy,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"11815 Alterra Pkwy
Austin, Texas 3646
(30.403614985, -97.718629976)",$4.17/month PIE members $2/hr Non-Members,30A
486,DOMAIN TOWER 2 / LVL 5_STATION 1,10025 Alterra Pkwy,,Austin,Texas,78758,2,,All Drivers,Workplace,General,J1772,240V,J1772,"10025 Alterra Pkwy
Austin, Texas 3646
(30.394621999, -97.722115003)",,40A
487,TR DOMAIN 10 / COUSINS DOMAIN5,11815 Alterra Pkwy,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"11815 Alterra Pkwy
Austin, Texas 3646
(30.403614985, -97.718629976)",$4.17/month PIE members $2/hr Non-Members,40A
488,RIDGE OFFICE / THE RIDGE GW,6805 Wood Hollow Dr,,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"6805 Wood Hollow Dr
Austin, Texas 3247
(30.349762011, -97.753631965)",$4.17/month PIE members $2/hr Non-Members,40A
489,DCMC GARAGE 3 / LVL1 RAMP LEFT,4910 Mueller Blvd,,Austin,Texas,78723,2,,All Drivers,Healthcare,Hospital / Treatment Center,J1772,240V,J1772,"4910 Mueller Blvd
Austin, Texas 3239
(30.302221994, -97.706071035)",,40A
490,RIATA' / ARROWHEAD,12370 Alameda Trace Cir,,Austin,Texas,78727,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"12370 Alameda Trace Cir
Austin, Texas 3243
(30.432453007, -97.746633998)",$4.17/month PIE members $2/hr Non-Members,40A
491,TRAILHEAD / EV-3,1120 Shady Ln,,Austin,Texas,78721,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"1120 Shady Ln
Austin, Texas 2864
(30.261706011, -97.69317204)",$4.17/month PIE members $2/hr Non-Members,40A
492,AUSTIN HQ / STATION 1,4200 Smith School Dr,,Austin,Texas,78744,2,,All Drivers,Workplace,General,J1772,240V,J1772,"4200 Smith School Dr
Austin, Texas 3258
(30.195979988, -97.715189959)",,40A
493,ACC / AE HLC GAR 1F5,6018 WILHELMINA DELCO DR,,Austin,Texas,78752,2,,All Drivers,Education,University / College,J1772,240V,J1772,"6018 WILHELMINA DELCO DR
Austin, Texas 3641
(30.3166, -97.6575)",,40A
494,BRANDYWINE AUST / RIVER PL 2,6500 River Pl Blvd,,Austin,Texas,78730,2,,All Drivers,Workplace,General,J1772,240V,J1772,"6500 River Pl Blvd
Austin, Texas 3246
(30.392150008, -97.84886497)",,40A
495,PIE AE / PUBDENNYSNORTH2,1601 Interstate 35 Frontage Road,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"1601 Interstate 35 Frontage Road
Austin, Texas 2857
(30.16881, -97.78476)",$4.17/month PIE members $2/hr Non-Members,40A
496,OWNER / TRAMMELLCROW5,500 W 2nd St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"500 W 2nd St
Austin, Texas 2856
(30.266027008, -97.749197016)",$4.17/month PIE members $2/hr Non-Members,40A
497,AVIATION / 2ND FLOOR L,3201 Presidential Blvd,,Austin,Texas,78719,2,,All Drivers,Parking,Airport,J1772,240V,J1772,"3201 Presidential Blvd
Austin, Texas 2863
(30.204258773, -97.670137162)",,40A
498,INDEED TOWER / P6 CORE ST 1,200 W 6th St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"200 W 6th St
Austin, Texas 2856
(30.268915999, -97.74474698)",$4.17/month PIE members $2/hr Non-Members,40A
499,RPP GARAGE / ISLAND 2,12301 Research Blvd,,Austin,Texas,78759,1,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"12301 Research Blvd
Austin, Texas 3647
(30.429288, -97.754653971)",$4.17/month PIE members $2/hr Non-Members,40A
500,PARK BEND / THRIVESPECIALTY,2217 Park Bend Dr,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Thrive Specialty Access,Workplace,General,J1772,240V,J1772,"2217 Park Bend Dr
Austin, Texas 3646
(30.407851995, -97.70396198)",$4.17/month PIE members $2/hr Non-Members,40A
501,TIG REAL ESTATE / PIE-STATION-1,Frontage Rd,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,"NEMA 5-20R, J1772",240V,"NEMA 5-20R, J1772","Frontage Rd
Austin, Texas 3260
(30.16881, -97.78476)",$4.17/month PIE members $2/hr Non-Members,40A
502,DOMAIN / RIGHT STATION,11501 Alterra Pkwy,,Austin,Texas,78758,1,,All Drivers,Multi-family Commercial,Condominium,J1772,240V,J1772,"11501 Alterra Pkwy
Austin, Texas 3646
(30.400938015, -97.719188965)",,40A
503,CHEVY MAIN / AUTONATION MAIN,11400 Research Blvd,,Austin,Texas,78759,2,,All Drivers,Workplace,General,J1772,240V,J1772,"11400 Research Blvd
Austin, Texas 3647
(30.409554988, -97.746365023)",,40A
504,TR DOMAIN 10 / ALTERRA 4,11815 Alterra Pkwy,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"11815 Alterra Pkwy
Austin, Texas 3646
(30.403614985, -97.718629976)",$4.17/month PIE members $2/hr Non-Members,40A
505,CZPROPERTIES / FLOOR 3 UNIT 3,1400 Lavaca St,,Austin,Texas,78701,2,,All Drivers,Workplace,General,J1772,240V,J1772,"1400 Lavaca St
Austin, Texas 2856
(30.277083996, -97.742725014)",,40A
506,PARKSIDE 1 / PARKSIDE2,3000 Kramer Ln,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"3000 Kramer Ln
Austin, Texas 3646
(30.396636003, -97.72313198)",$4.17/month PIE members $2/hr Non-Members,40A
507,PIE AE / MUELLERHQ P2-7,4815 Mueller Blvd,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"4815 Mueller Blvd
Austin, Texas 3239
(30.30156502, -97.704676035)",$4.17/month PIE members $2/hr Non-Members,40A
508,QO I & II / QO1,10900 Stonelake Blvd,,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"10900 Stonelake Blvd
Austin, Texas 3647
(30.401859018, -97.736482005)",$4.17/month PIE members $2/hr Non-Members,40A
509,ZOEY AUSTIN / ZOEY - LEVEL 2,5700 E Riverside Dr,,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"5700 E Riverside Dr
Austin, Texas 3256
(30.228463006, -97.709738034)",$4.17/month PIE members $2/hr Non-Members,40A
510,PIE AE / MUELLERHQ P2-5,4815 Mueller Blvd,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"4815 Mueller Blvd
Austin, Texas 3239
(30.30156502, -97.704676035)",$4.17/month PIE members $2/hr Non-Members,40A
511,PIE AE / PDC LV1 CHRG#6,6310 Wilhelmina Delco Dr,,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Municipal,Municipal Fleet,J1772,--,J1772,"6310 Wilhelmina Delco Dr
Austin, Texas 3641
(30.3166, -97.6575)",$4.17/month PIE members $2/hr Non-Members,40A
512,PARKING LEVEL 1 / KENZIE 2,11301 Domain Dr,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"11301 Domain Dr
Austin, Texas 3646
(30.399143994, -97.724609961)",$4.17/month PIE members $2/hr Non-Members,40A
513,THE MEDVE GROUP / BARTON-HILLS,1244 Barton Hills Dr,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"1244 Barton Hills Dr
Austin, Texas 2859
(30.261556876, -97.775346898)",$4.17/month PIE members $2/hr Non-Members,40A
514,HPI 3700 / 3900 SC #1,3900 N Capital of Texas Hwy,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,General,J1772,240V,J1772,"3900 N Capital of Texas Hwy
Austin, Texas 3260
(30.338488016, -97.807482005)",$4.17/month PIE members $2/hr Non-Members,40A
515,RIATA' / MYLESMARK,12610 Riata Trace Pkwy,,Austin,Texas,78727,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"12610 Riata Trace Pkwy
Austin, Texas 3243
(30.432170998, -97.739647011)",$4.17/month PIE members $2/hr Non-Members,40A
516,AVIATION / 4TH FLOOR,3201 Presidential Blvd,,Austin,Texas,78719,2,,All Drivers,Parking,Airport,J1772,240V,J1772,"3201 Presidential Blvd
Austin, Texas 2863
(30.204258773, -97.670137162)",,40A
517,DCMC GARAGE 3 / LVL1 RAMP RIGHT,4910 Mueller Blvd,,Austin,Texas,78723,2,,All Drivers,Healthcare,Hospital / Treatment Center,J1772,240V,J1772,"4910 Mueller Blvd
Austin, Texas 3239
(30.302221994, -97.706071035)",,40A
518,PARMER AUSTIN / PIC #1,507 E Howard Ln,3M Science Center,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Workplace,High-Tech,J1772,240V,J1772,"507 E Howard Ln
Austin, Texas 3642
(30.413371017, -97.654677982)",$4.17/month PIE members $2/hr Non-Members,40A
519,PIE AE / PUBGABLESPRESS1,1313 W 6th St,,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"1313 W 6th St
Austin, Texas 2858
(30.273712878, -97.759892585)",$4.17/month PIE members $2/hr Non-Members,40A
520,PIE AE / 2201 E 6TH ST,2201 E 6th St,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,"J1772, NEMA 5-20R",240V,"J1772, NEMA 5-20R","2201 E 6th St
Austin, Texas 2857
(30.259628012, -97.718571973)",$4.17/month PIE members $2/hr Non-Members,40A
521,ABOR / PARKING_P1,4800 Spicewood Springs Rd,Level P1,Austin,Texas,78759,2,,All Drivers,Workplace,General,J1772,240V,J1772,"4800 Spicewood Springs Rd
Austin, Texas 3647
(30.376460008, -97.76305599)",,40A
522,DCMC GARAGE 3 / L1 #14,4900 Mueller Boulevard,,Austin,Texas,78723,2,,All Drivers,Healthcare,Hospital / Treatment Center,J1772,240V,J1772,"4900 Mueller Boulevard
Austin, Texas 3239
(30.303677009, -97.706609991)",,40A
523,GPT / GPT 3,111 Sandra Muraida Way,,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Multi-family Commercial,Apartment,J1772,240V,J1772,"111 Sandra Muraida Way
Austin, Texas 2856
(30.267467019, -97.754166982)",$4.17/month PIE members $2/hr Non-Members,40A
524,PIE AE / PALMER STATION2,800 Barton Springs Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,All Drivers,Parking,Commercial,J1772,240V,J1772,"800 Barton Springs Rd
Austin, Texas 2859
(30.2592972, -97.752574566)",$4.17/month PIE members $2/hr Non-Members,40A
